BILLING_ACCT_ID_NUM,STATE_DATE,MDN,MDN_GPON,USER_NAME,BILLING_ACCT_ID,HAPPINESS_IDX_M1,HAPPINESS_IDX_M2,HAPPINESS_IDX_M3,MTBR_VAL_M1,MTBR_VAL_M2,MTBR_VAL_M3,MTBF_VAL_M1,MTBF_VAL_M2,MTBF_VAL_M3,COMPLAINT_COUNT_M1,COMPLAINT_COUNT_M2,COMPLAINT_COUNT_M3,DATA_USAGE_GB_M1,DATA_USAGE_GB_M2,DATA_USAGE_GB_M3,TENURE_MONTHS,PRODUCT_TYPE,SEGMENT,CONTRACT_TYPE,SUBSCRIPTION_SPEED_MBPS,REGION
3089250953,2026-08-30,0364727545,,user_250953,ACC-3089250953,90.5,66.91,76.42,216.328,151.5807,411.2846,391.92,385.18,1141.98,7,10,8,222.47,47.17,130.95,6,VDSL,MASS,MONTHLY,100,KHI
3773956047,2026-08-30,0350121466,0345726854,user_956047,ACC-3773956047,86.6,44.04,57.81,316.9414,0.2778,324.4437,359.17,1592.51,586.77,2,4,1,273.49,497.13,313.48,119,VDSL,MASS,ANNUAL,50,KHI
3654571517,2026-08-30,0348507565,0312953455,user_571517,ACC-3654571517,78.3,140.05,76.27,463.4579,23.5123,391.0968,1625.86,1921.65,1113.03,7,2,3,73.37,385.05,194.08,104,VDSL,SME,BIANNUAL,50,LHR
3438878439,2026-08-30,0350573603,0362649114,user_878439,ACC-3438878439,58.82,49.98,54.85,466.457,468.0012,214.6568,536.78,1446.45,1247.51,9,6,5,168.14,46.64,172.69,85,GPON,MASS,BIANNUAL,25,KHI
3433015235,2026-08-30,0349224980,0356494119,user_015235,ACC-3433015235,56.8,71.41,47.59,196.3545,418.9004,319.3304,1827.44,1836.54,1224.57,3,10,3,493.82,328.11,266.95,101,GPON,MASS,ANNUAL,4,KHI
3858597918,2026-08-30,0328082924,0319203647,user_597918,ACC-3858597918,59.73,21.74,36.44,165.302,59.6347,0.2778,288.71,1968.53,1250.86,7,5,0,8.12,17.09,385.93,10,GPON,MASS,ANNUAL,100,ISB
3085945638,2026-08-30,0361557964,0364694148,user_945638,ACC-3085945638,60.24,126.49,35.63,226.0722,30.8523,315.9017,1358.64,710.58,278.81,0,0,9,226.25,385.09,189.43,11,GPON,CORPORATE,ANNUAL,16,PSH
3697368028,2026-08-30,0344831301,0329563902,user_368028,ACC-3697368028,52.59,85.63,76.36,284.3992,417.5191,174.4891,1630.8,1280.06,1390.15,0,3,8,421.33,399.61,293.76,37,ADSL,SME,ANNUAL,100,KHI
3201469535,2026-08-30,0307764719,0344412053,user_469535,ACC-3201469535,29.88,65.77,28.92,231.4471,78.7231,331.6023,478.16,953.13,1352.75,0,10,5,161.95,301.21,483.1,3,ADSL,MASS,MONTHLY,100,PSH
3094177347,2026-08-30,0359146441,0355756566,user_177347,ACC-3094177347,29.42,53.3,26.45,329.718,267.9142,336.2552,559.65,1973.39,1368.35,10,5,3,239.9,428.43,260.99,107,VDSL,MASS,MONTHLY,100,ISB
3526478978,2026-08-30,0332366639,,user_478978,ACC-3526478978,91.42,90.2,33.22,277.6451,457.9567,480.3329,1929.39,196.68,157.4,6,10,9,489.02,48.94,454.9,7,GPON,CORPORATE,ANNUAL,50,PSH
3975622350,2026-08-30,0303139394,0365395875,user_622350,ACC-3975622350,56.15,84.05,33.15,161.0371,284.1566,186.0852,536.55,830.63,899.21,8,5,0,237.44,137.96,396.84,66,VDSL,CORPORATE,MONTHLY,50,ISB
3735752369,2026-08-30,0364279272,0381985752,user_752369,ACC-3735752369,91.49,44.17,111.23,173.5197,199.2194,213.1158,865.61,1752.32,823.98,0,0,4,65.46,207.09,29.36,103,VDSL,MASS,ANNUAL,25,ISB
3717477276,2026-08-30,0377472004,0372358340,user_477276,ACC-3717477276,32.27,60.84,49.89,189.9178,223.063,406.2494,870.71,575.26,182.56,0,9,8,25.86,21.23,214.55,89,ADSL,MASS,MONTHLY,4,LHR
3786064304,2026-08-30,0391472738,,user_064304,ACC-3786064304,61.58,110.18,94.28,48.2252,32.4955,253.3754,513.54,1577.71,452.51,9,8,10,472.71,224.11,349.16,29,GPON,MASS,BIANNUAL,16,ISB
3513226572,2026-08-30,0355148074,,user_226572,ACC-3513226572,35.58,67.42,30.29,83.8653,484.4074,368.55,1553.82,771.74,887.52,1,7,2,132.9,132.61,493.36,57,ADSL,MASS,BIANNUAL,50,MUL
3128113632,2026-08-30,0376436150,0379048784,user_113632,ACC-3128113632,38.99,174.04,69.02,361.8338,156.0164,230.395,1545.98,1960.16,1488.38,1,10,7,252.03,196.37,229.19,66,VDSL,MASS,ANNUAL,50,KHI
3839748228,2026-08-30,0366074701,,user_748228,ACC-3839748228,22.25,38.32,53.65,195.1593,95.4924,108.5321,762.85,1768.22,481.75,5,2,2,45.35,212.55,46.39,93,GPON,MASS,ANNUAL,25,LHR
3450385937,2026-08-30,0341361611,0335909474,user_385937,ACC-3450385937,28.92,88.45,49.47,108.0549,143.7376,372.8567,1671.9,609.63,1661.2,6,9,1,211.83,439.71,281.0,52,VDSL,MASS,MONTHLY,50,KHI
